dialect,standard
わしには、芸術を見るめかどがねえごたる,わしには、芸術を見る目がないようにある
洗った食器は、めごに入れて水を切る,洗った食器は、竹かごににいれて水を切る
近ごろ公衆電話は、めって見かけん,近ごろ公衆電話は、めったに見かけない
あんしはすぐ怒るけん、めってんこつ言うちゃならんで,あの人はすぐ起こるから、滅多なこと言ったらいけないよ
年末セールの時は、店員のめとんぼがまう,年末セールの時は、店員の目が回る
まじめに勉強せんと、入試でめにあうで,まじめに勉強しないと、入試で酷い目にあうよ
残暑の中で作業すると、めのこしがおるる,残暑の中で作業すると、疲れる
新幹線が通過するときは、めをこするほどじゃ,新幹線が通過するときは、短時間だ
パジャマのまま、外に出るのはめんどしい,パジャマのまま、外に出るのは恥ずかしい
もうから暑中見舞いを書きよるんかえ？,早くから暑中見舞いを書いているのかい？
もうがんこが少ねえのは地球温暖化のせいじゃろうか,つららが少ないのは地球温暖化のせいだろうか
わし一代でもうけだすのは、無理があるちゃ,わし一代で財産を作るのは、無理があるって
要らんことまで、申し上げるしがおるなあ,要らないことまで、申し上げる人がいるなあ
中学生ぐらいになると、親にもがう子が多くなる,中学生ぐらいになると、親に逆らう子が多くなる
ドリアンは鼻がもぐるごと臭いが、私は好きだ,ドリアンは鼻がもげるように臭いが、私は好きだ
あそこの息子には、もってえねえ話じゃ,あそこの息子には、もったいない話だ
毎年イノシシに作物を食い荒らされち、もてんがのう,毎年イノシシに作物を食い荒らされて、やりきれないだけどなあ
あんまりもどかすと、しまいには泣き出すで,あんまりからかうと、しまいには泣き出すよ
先週見た映画は、もな面白かった,先週見た映画は、とても面白かった
運動会で走ったら、ももたんがだりい,運動会で走ったら、太ももがだるい
ももねを柔軟にして、転びにくい体を作る,ももの付け根を柔軟にして、転びにくい体を作る
年末には、もろぶたを洗って餅つきじゃ,年末には、もちの箱を洗って餅つきだ
見かけはイマイチ、やあけど、気持ちが優しい,見かけはイマイチ、だけど、気持ちが優しい
やあやあいうて年賀状書いたに、干支が間違うちょった,わあわあ言って年賀状書いたのに、干支が間違ってた
硬かった柿も、熟すとやええなる,硬かった柿も、熟すと柔らかくなる
国際関係とは、やえくろしいもんじゃ,国際関係とは、ややこしいものだ
子どもん宿題見ちゃるのも、やえこっちゃねえ,子どもの宿題を見てあげるのも、容易ではない
あんしは若いけど見かけによらず、やおいかん,あの人は若いけど見かけによらず、しっかりしている
花見の場所取りは、やおねえでえ,花見の場所取りは、容易でないよ
やから言うようなやつには、取り合うな,わがまま言うような人には、取り合うな
中には、やきいたたん助っ人もおったなあえ,中には、役に立たない助っ人もいたなあ
暴風雨で折り畳み傘は、やくうせん,暴風雨で折り畳み傘は、役に立たない
はよう、やしい電気自動車が発売されんかのお,早く、安い電気自動車が発売されないかなあ
うちの子は、やしぼうするけん太っちしもうた,うちのこは、食いしん坊するから太ってしまった
やせぎしじゃけん、幅15センチもありゃ通れる,やせぎすだから、幅15センチもあれば通れる
やぜんは仕事で帰りが遅くなった,昨夜は仕事で帰りが遅くなった
適度なやつがいが、わしの健康法じゃ,適度な晩酌が、わしの健康法だ
働いてん働いてん給料があがらんじ、やっけねえ,働いても働いても給料が給料が上がらないで、不憫だ
老人会でやっしゃきったら嫌われたごたる,老人会でたんかを切ったら嫌われたようにある
やっちょられん,やってられない
コンクールで緊張して、やりくりかやした,コンクールで緊張して、失敗した
日曜日ぐらい休まんと、やりつくるで,日曜日くらい休まないと、燃え尽きるよ
やんがち、プロ野球の公式戦が始まる,やがて、プロ野球の公式戦が始まる
古い方のパソコンは、じいちゃんにやんない,古い方のパソコンは、じいちゃんにやりなさい
うちん子は、やんやん言われな宿題せん,うちの子は、やいのやいの言われないと宿題をしない
社長が帰社するのは、ゆうさの予定です,社長が帰社するのは、夕方の予定です
春休みは宿題が少ないから、ゆうじゃ,春休みは宿題が少ないから、暇だ
にぎやかな人と飲んだら、会話と酒の両方にゆうた,にぎやかな人と飲んだら、会話と酒の両方に酔った
誰んせいでこげなこつになったんか、ゆうちみい,誰のせいでこんなことになったのか、言ってみろ
あいつにはわしからゆうてかすけん、ここはこらえちくれめえか,あいつにはわしから言って聞かすから、ここはこらえてくれまいか
ゆうてんが、わしゃ八百長はしたことねえで,そうはいっても、わしは八百長はしたことないよ
わしもこの春退職してから、ゆうなしになった,わしもこの春退職してから、暇な人になった
水泳は、指導次第でフォームがゆうなる,水泳は、指導次第でフォームがよくなる
運動会で走ったせいか、ゆうろが痛い,運動会で走ったせいか、ふくらはぎが痛い
受験生の癖に、ゆたあっとしちょるなあ,受験生の癖に、ゆったりとしてるなあ
わしゃ、あんしにちょっとゆっちゃりてえ,わしは、あの人にちょっと言ってやりたい
結婚祝いじゃ、酒をゆらこしついじょくれ,結婚祝いだ、酒をなみなみとついでくれ
近ごろの政治はゆるうじょる,近ごろの政治は、緩んでいる
ゆるくてえ格好をしちょったら、先生から叱られた,だらしがない格好をしていたら、先生から叱られた
あんしはゆるごえじゃあに、走るのは速い,あの人は太っているのに、走るのは速い
遠慮せんで食べよ,遠慮しないで食べよ
兄ちゃんよい、柿を持っち帰らんな,兄ちゃんよ、柿を持って帰らんか
近ごろ、よいくろうほど酒を飲む人は少なくなった,近ごろ、酔っ払いほど酒を飲む人は少なくなった
居酒屋から、よいとの集団が出てきた,居酒屋から、酔っぱらいの集団が出てきた
そげなことをよう言わんで,そんなことはとても言えないよ
このところどうも、体調がようねえ,このところどうも、体調が良くない
わしの息子も、ようよ就職でけたがなあ,わしの息子も、ようやく就職できたけどなあ
アジをよおけ釣ってきたで,アジをたくさん釣ってきたよ
あんまりしちくじゅう叱ると、性格がよがむで,あんまりしつこく叱ると、性格が曲がるよ
近ごろ、よきで薪を割る人を見らんなあ,近ごろ、手斧で薪を割る人を見ないなあ
そこのみんな、車が来たけん、よきい,そこのみんな、車が来たから、避けろ
携帯はよきい置いち、本腰で勉強せなえ,携帯は横に置いて、本腰で勉強しなよ
よくとれなしは、どこかで損しよるんで,欲張りな人は、どこかで損してるんだよ
農家は、よけを大切にするごと教えられた,農家は、水路を大拙にするように教えられた
あんしはちょっと意見すると、すぐよけなる,あの人はちょっと意見すると、すぐ横になる
連休の最後の日は家でよこうた,連休の最後の日は家で休んだ
あんまりよこはると、嫌われるで,あんまり意地を張ると、嫌われるよ
子どもからよしゃくされると気持ちがいい,子どもからあいさつされると気持ちがいい
また、よしれん相談をしよるんじゃろう,また、とんでもない相談をしてるんだろう
飛行機で、よせ行く時はわくわくする,飛行機で、よそに行く時はわくわくする
父ちゃんは、よそんしにはとうてん愛想がいい,父ちゃんは、よその人にはとっても愛想がいい
雨の中を歩くのはよだきい,雨の中を歩くのはだるい
あんやた、よだきいやっちゃ,あの野郎、面倒くさいやつだ
赤ちゃんが寝てるから、騒ぐとよだけしよ,赤ちゃんが寝てるから、騒ぐと煩わしいよ
久しぶりに家族旅行でもよだつか,久しぶりに家族旅行でも思い立つか
クリスマスのよどは、クリスマスイブじゃがえ,クリスマスの前夜は、クリスマスイブだろう
ママが忙しい間、姉ちゃんが赤ちゃんをよどる,ママが忙しい間、姉ちゃんが赤ちゃんをあやす
晩御飯の後、本を読むとすぐ、よながづくる,本ご飯の後、本を読むとすぐ、熟睡する
よなけえ犬が鳴くが、何事じゃろうか,夜中に犬が鳴くけど、何事だろうか
元旦は、家族でよろうち初日の出を拝む,元旦は、家族で連れ立って初日の出を拝む
近ごろ足がよろしいけん、すぐけつまずく,近ごろ足がよろよろしているから、すぐけつまずく
オリンピック中継をよんがなよどおじ見た,オリンピック中継を徹夜で見た
すまんけど、わしにもたばこを一本よんで,すまんけど、わしにもたばこを一本ちょうだい
来週の休みには、祭りの準備によんなう,来週の休みには、祭りの準備に加勢する
よんべのホタルはしんけんきれいじゃった,昨夜のホタルはとてもきれいだった
らいしんは元旦から欠かさず日記をつけるぞ,来年は元旦から欠かさず日記をつけるぞ
マニフェストに、らっしょもねえこと書くな,マニフェストに、いい加減なこと書くな
カレーライスには、らんぎょうが相性がいい,カレーライスには、ラッキョウが相性がいい
わしゃ子どもの頃はりこもんと言われよった,わしは子どもの頃は利口者と言われていた
あんたんるし、雛人形を飾ったで,あんたの留守に、雛人形を飾ったよ
こん忙しい時に、あんたの相手はしちょれん,この忙しい時に、あんたの相手はしていられない
とろろは、れんぎとすり鉢で丁寧にすりおろす,とろろは、すりこ木とすり鉢で丁寧にすりおろす
まあ、ろくしてお茶でん飲もうえ,まあ、腰を下ろしてお茶でも飲もうよ
あのサッカー選手は時々ろくそねえパスをする,あのサッカー選手は時々雑なパスをする
ろんでんねえしと言われんごとせな,ろくでもない人と言われないようにしないと
わしゃ、インターネットやらでけんわあ,わしは、インターネットやらできないよ
あん時が、わしの人生のわかされじゃった,あの時が、わしの人生の分かれ道だった
自然はコントロールでけんち、わかっつろう,自然はコントロールできないと、分かったろう
あんしは昔っから、わきあがりやった,あの人は昔っから、お調子者だった
大きな木をわくのは、骨が折るる,大きな木をのこぎりで引くのは、骨が折れる
わくどが鳴くけん、雨じゃろう,カエルが鳴くから、雨だろう
センターラインから、わごみでると危険で,センターラインから、はみ出ると危険だよ
カウボーイの投げたわさが牛の角に引っかかる,カウボーイの投げた輪が牛の角に引っかかる
あん子は体は小さいが、わさごのごたるなあ,あの子は体は小さいけど、おませさんのようだなあ
カップラーメンなら作るのは、わっきゃねえ,カップラーメンなら作るのは、わけない
今年の正月、一緒に初詣に行ったわなあ,今年の正月、一緒に初詣に行ったよね
花の苗を植えたが雪が積もってわやになった,花の苗を植えたけど雪が積もってむちゃくちゃになった
わやくする時だけ、ようアイデアが出る,いたずらする時だけ、良くアイデアが出る
窓を開けたら、風で部屋中わやくちゃになった,窓が開けたら、風で部屋中むちゃくちゃになった
その皿をわらかすと、大変なことになるで,その皿を割ると、大変なことになるよ
あのわるがねが、立派な大人になった,あの悪童が、立派な大人になった
明日は、われが俺のうちに来い,明日は、お前が俺のうちに来い
ここにあるボールは、われがんか,ここにあるボールは、お前のものか
キャンプの飯をわれきで焚いたらうまかった,キャンプの飯を薪で焚いたらうまかった
わんかたん元気なばあちゃんは百歳ちのう,あなたの家の元気なばあちゃんは百歳だってな
今日ん空はあいいのお,今日の空は青いなあ
あんしはあけえ顔しちょる,あの人は赤い顔をしている
酔うちょんのじゃろ,酔っているんだろう
こら袋が小せえけん、こんだけん魚を入るんのにあばからんど,この袋は小さいから、これだけの魚を入れるのに収まらないぞ
あん男前はだいかえ？,あの男前は誰だ？
どけ行ったん？,何処に行ったんだ？
あんげ行った,あっちに行った
泣き言いうな、いころ見せんか,泣き言いうな、根性見せないか
あんしは毎日一生懸命にいのちきをしよる,あの人は毎日一生懸命に生きるために仕事をしている
いびしいおいさんじゃのお,不潔なおっさんだなあ
あんたは出おうたんびにいやことんじょう言いよるっちゃ,あなたは出会う度に愚痴ばかり言っているな
しゃあしいのお,うるさいなあ
人をいらばかすようなヤツは好かん,人を騙すようなヤツは嫌いだ
うたちいのお,汚いなあ
亀はうっするといかんど,亀は捨てるといけないぞ
ここんラーメンはうもねえのお,ここのラーメンは不味いなあ
えらしいやっちゃのお,可愛いやつだね
ここん飯屋ん丼は量がおいいのお,ここの飯屋の丼は量が多いなあ
こん写真に写っちょるおいさんはだいかえ？,この写真に写っているおじさんは誰かい？
おおちゃきいやっちゃのお,横着なやつだなあ
ちちまわっそ,ぶん殴るぞ
なんかおじいおいさんがおっちょるのお,なんか怖いおじさんがいるなあ
こんしはおもしりいしじゃなあ,この人は面白い人だなあ
だいかおらびよる,誰か叫んでいる
おろいいやっちゃのお,怖いやつだなあ
お土産を貰ろうたけんど、あんやつが黙っち一人じ食うちしもうた,お土産を貰ったけど、あいつが黙って一人で食ってしまった
今度ん台風じ、うちん家はかやるど,今度の台風で、うちの家は倒れるぞ
かっせちくりい,手伝ってくれ
もうこん銭はあんたがんじゃ,もうこの銭はあなたのものだ
そこん新聞紙はひもじきびっつけちょけ,そこの新聞紙はひもで縛っておけ
あんしは働きもせんでくじんじょう言いよる,あの人は働きもしないで文句ばかり言っている
じなしじゃのお,無責任だな
ここん畑んスイカはくどろんじょうじゃのお,ここの畑のスイカはクズばかりだなあ
そんお菓子をわしにくりい,そのお菓子をわしにくれ
こけけえ,ここに来い
なんかこんやた、けとろくじゃのお,なんだこいつは、つまらないやつだなあ
今日は俺の誕生日じゃけん、何かくりい,今日は俺の誕生日だから、何かくれ
こええから入らん,面倒くさいから入らない
今月ん決算はこげえなっちしもうた,今月の決算はこういう風になってしまった
そん錆びたバケツをガリガリこさぎよったら穴がほげちしもうた,その錆びたバケツをガリガリ削り取っていたら穴が開いてしまった
そこんおいさんをこそぶり倒した,そこのおじさんをくすぐり倒した
こんめえカサゴしか釣れんのお,小さいカサゴしか釣れないなあ
これんおばさんはさかしいのお,あのおばさんは元気だなあ
あんしはさじいやっちゃのお,あの人はすばしっこいやつだなあ
なんか好かん,なんか嫌い
しかともしれんのお,くだらないなあ
小便をしかぶっちしもうた,小便を漏らしてしまった
しちくじいやっちゃのお,しつこいやつだなあ
はよ離さんか,早く離さないか
金貸しちくりい,金貸してくれ
しゃあしいけん無理じゃのお,忙しいから無理だな
なんか失敗した時に、しゃあねえと言うち励ます,何か失敗したときに、仕方ないと言って励ます
飲んだ後にしゃっちラーメン食わんでんよかろうが,飲んだ後に無理にラーメン食わんでいいだろうが
なんじ来たん？,何で来たの？
車じきた,車で来た
じなしじゃのお,しょうがないやつだなあ
こん会社んやたあバカんじょうじゃのお,この会社のヤツらはバカばっかだなあ
やっぱ大分名産のカボスを丸かじりするとちからいっぱいすいいのお,やっぱり大分名産のカボスを丸かじりすると超すっぱいなあ
弱ええもんをせがうな,弱いものをいじめるな
ちちまわっそ,ぶん殴るぞ
車が溝にはまっちしもうたけん、せるの手伝っちくりい,車が溝にはまってしまったから、押すのを手伝ってくれ
そいじ飯を食え,それで飯を食え
そげえ慌てち食わんでんよかろうが、だいも取らせんちゃ,そんなに慌てて食べなくても良いだろうが、誰も取らないよ
わしんメガネ知らんかえ？,わしのメガネを知らないかい？
ぽくと雷がが落ちち来たけん、たまがったちゃ,突然雷が落ちて来たから、びっくりした
あんただいかえ？,あなたは誰かい？
晩飯を食いすぎちから、腹が膨れち動けんちゃ,晩飯を食いすぎたから、腹が膨れて動けないって
あんたんそん考えはちごうちょる,あなたのその考えは違っている
頑張っちょるかえ？,頑張っているかい？
頑張っちょるで,頑張ってるよ
こんやつは何時もつらがってんじょうじ働かん,こいつは何時もふざけてばかりで働かない
今晩は夜釣りに行くけん,今晩は夜釣りに行くから
だいかとぎがおるんかえ？,誰か友達が居るのかい？
いや、だいもおらんのじゃ,いや、誰もいないんだ
そら危ねえのお、気を付けないえ,それは危ないなあ、気をつけてな
とっと好かん,すごく嫌い
ニヤニヤしちどうくっちょんのお、ちちまわすど,ニヤニヤしてふざけてるなあ、ぶん殴るぞ
そけおっちょった亀はどけ行ったんか？,そこにいた亀はどこに行ったのか
そん金はどげえしたんかえ？,その金はどうしたのかい？
嘘言うなえ、拾うたんじゃろうがえ？,嘘言うなよ、拾ったんだろうが？
どじれんことすんのお,くだらないことするなあ
あんたまた壁に落書きしよるんかえ,あんたまた壁に落書きしているのかい
今年もどべじゃ,今年もビリだ
どんならんやっちゃのお,どうしようもないヤツだなあ
こん単車は倉庫になおしちょけ,この単車は倉庫にしまっておけ
なしか,なぜだ
こんなばは旨えのお,このしいたけは旨いなあ
電車じなんかかっちくるおいさんがおる,電車で寄りかかってくるおじさんがいる
うたちいのお,汚いなあ
あんた今そこん角に鼻くそぬすくりつけたろうがえ？,あんた今そこの角に鼻くそこすりつけただろうが？
そげなこつしちからいかんちゃ,そんなことしたらいけないって
亀はやっぱぬりいのお,亀はやっぱり遅いなあ
そこん柿ん木んねきに穴掘っち住んじょる,そこの柿の木の根元に穴を掘って住んでいる
もう酒がのうなっちしもうた,もう酒がなくなってしまった
まだ飲みてえのお,まだ飲みたいなあ
まだ飲むんかえ？,まだ飲むのかい？
こら刺身にしち食うかのお,これは刺身にして食べようかな
庭ん落葉をはわいちょけ,庭の落ち葉を掃いておけ
あん荷物は重てえじ持てんど,あの荷物は重たくて持てないぞ
ひこずってんいいけん、ここまで移動さしい,引きずってもいいから、ここまで移動させろ
どけえしたんかえ？,どうしたのかい？
単車じ転けち擦りむいたんじゃ,単車で転げて擦りむいたんだ
あんたひらくてえ顔しちょんなあ,あなたは平たい顔をしているなあ
しゃあしいっちゃ,うるさいって
こんびったれが,このだらしがないやつが
あんしはふてこつ銭を持っちょる,あの人はたくさん銭を持っている
わしにくれんかのお？,わしにくれないかなあ？
ここん一帯は、あんおいさんの土地かえ？,ここの一帯は、あのおじさんの土地かい？
家がボロじゃけん天井がほげちしもうた,家がボロだから天井に穴が空いてしまった
そこん道具をこけほたれ,そこの道具をこっちに投げろ
そこん道具をほたれ,そこの道具を投げろ
ぽくと雨が降り出した,突然雨が降り出した
こんやたまてえやっちゃのお,この野郎鈍いやつだなあ
また負けちょる,また負けてる
まんがいいっちゃ,運がいいって
貧乏臭えやっちゃのお,貧乏くさいやつだなあ
むげねえのお,可哀想だなあ
そげななりしちめんどしいちゃ,そんななりして恥ずかしいって
なんかやええのお,なんか軟らかいなあ
あと10年間は借金を返さにゃならん,あと10年間は借金を返さないといけない
やおねえなあ,やってられないなあ
もう酒飲んだんじゃ,もう酒を飲んだんだ
やけん車は乗れんのじゃ,だから車は乗れないんだ
明日ん仕事はよこうち、魚釣りに行こうかのお,明日の仕事は休んで、魚釣りに行こうかなあ
今から玉買いに行かんといけん,今から卵買いに行かないといけない
よだきいのお,面倒だなあ
鬼と神がよろうち飯を食いよる,鬼と紙が一緒に飯を食っている
こん弁当は旨えろ？,この弁当は旨いだろ？
祠ん前んろきいとけわくどがおっちょる,祠ん前の平たいところにカエルがいる
えらしいのお,かわいいなあ
どげえかえ？,どうですか？
どげえもこげえも、あんた、あれじゃ,どうもこうも、あなた、あれだ
大変じゃなあ,大変だな
ああ、どげえかするわあ,ああ、どうにかするよ
うん、どげえかなるじゃろ,うん、どうにかなるだろう
ほなまた,じゃあまた
なんしよんの？,何をしているの？
あんた、なんしよんの？,あなた、何をしているの？
背広とか着ち、誰かと思うたで,背広とか着て、誰かと思ったよ
仕方ねんじゃ,仕方ないんだ
つきあいじゃけん,つきあいだから
ほなまあ、頑張りよ,じゃあ、頑張ってね
こらまた、今日はどこ行きな？,これはまた、今日はお出かけですか？
いや、久しぶりに頭つんじきたんじゃ,いや、久しぶりに散髪に行ったんだ
なんな、県庁行きな？,何？県庁に行くの？
違うちゃ,違うって
ほな、デートかえ？,じゃあ、デートかい？
もう頑張らんち？,もう頑張らないって？
臼杵に行くんち？,臼杵に行くって？
久しぶりに、フグ食うんじゃあ,久しぶりに、フグ食べるんだ
フグかえ,フグかい
うん、綺麗なお姉ちゃんたちと行くんで,うん、綺麗なお姉さんと行くんだ
なんかえ,なんだって？
いいんかえ、そげなことして,いいのかい、そんなことして
あんた、そんバッグ高そうやなあ,あなた、そのバッグ高そうだなあ
いいえなこと,とんでもない
安かったけん、こうたんで,安かったから、買ったんだ
いいや、5千円はしちょろう,いいや、5千円はしてるだろう
わりいけど、そん2倍じゃ,悪いけど、その2倍だ
あんたが持つと、安う見ゆんで,あなたが持つと、安く見えるよ
今日は、ぬきいなえ,今日はあたたかいねえ
ちゅうか、蒸し暑うねえ？,というか、蒸し暑くない？
まだ、梅も咲いちょらんのに、蒸し暑いかえ？,まだ、梅も咲いていないのに、蒸し暑いかい？
太っちょんけんなあ？,太っているからかなあ？
あんた、身も心も、ふうたらぬきいんじゃねんな？,あなた、身も心も、生ぬるいんじゃないのか？
雨が降りよるけん、車洗わんじ済んだ,雨が降っているから、車を洗わんで済んだ
もしもし、雨が降りよるなあ,もしもし、雨が降っているなあ
今、飯食いよるんじゃ,今、ご飯を食べているんだ
あんた、いつも、なんか食いよるなあ,あなた、いつも、何か食べているなあ
じゃあけん、太っちょるんで,だから、太っているんだ
まだ太りよるんやな？,まだ太っているんだな？
おじいなあ,こわいなあ
昔ん人はおしゃれやった？,昔の人はおしゃれだった？
じゃあじゃあ,そうそう
あんた、最近、よう飲みに行きよるごたるなあ？,あなた、最近、よく飲みにいってるようだなあ？
綺麗なママさんが、おるちゅうたなあ,綺麗なママさんが、居るそうだなあ
お金んじょう使うて、なんもいいことが起こらんごたるなあ,お金ばかり使って、何もいいことが起こらないようだなあ
誰かえ？,誰かい？
今、ご飯食べよんのじゃ,今、ご飯食べているんだ
こんカボスを2つばかりおくれ,このカボスを2つほどください
今、お茶飲みよるけん,今、お茶飲んでるから
それと、こん靴下もおくれ,それと、この靴下もください
今日はなんか、いいのある？,今日は何か、良いのある？
いい関アジが入っちょんで,良い関アジが入っているよ
ほうな,そうか
それじ、何匹いるんな？,それで、何匹いるんだ？
こんシイタケ、なんぼな？,このシイタケ、おいくらですか？
地物じゃけん、値が張るで,地元産だから、値が張るよ
なんぼなんでん、そら買えん,いくらなんでも、それは変えない
あんた、なんぼ持っち来たんな？,あなた、いくら持ってきたんだ？
なんぼも残ってねえ,いくらも残ってねえ
こん牛肉、うまそうやなあ,この牛肉、うまそうだなあ
豊後牛じゃけんな,豊後牛だからな
がなあるわ,それだけの価値あるよ
ほな、千円がなおくれ,それじゃ、千円分ください
何人で食べるんかえ？,何人で食べるのかい？
食うがなねえで,食うほどないよ
いいちゃ、ひとりじゃけん,いいってば、ひとりだから
誕生日んケーキあるかなあ？,誕生日のケーキあるかなあ？
いろいろあるけど、誰の誕生日な？,いろいろあるけど、誰の誕生日だ？
こん、イチゴんショートケーキを一個おくれ,この、イチゴのショートケーキを一個ください
ひとりじ食べるんかえ？,一人で食べるのかい？
持ちやしいように、きびっちょくれ,持ちやすいように、結んでくれ
こん池を干すんは、何年ぶりかえ？,この池を干すのは、何年ぶりかい？
魚がようけ獲るるでえ,魚がたくさん獲れるよ
あんた、いつん間に、ここに来ちょったんな？,あなた、いつの間に、ここに来てたんだ？
うん、獲ったで,うん、獲ったよ
食うかえ？,食べるかい？
今日は潮が、わりいんやろか？,今日は潮が、悪いんだろうか？
釣れんでん、かんまん,釣れなくても、構わない
わしゃ、養殖しよるけん,わしは、養殖してるから
へえ、なんの養殖をしよんのかえ？,へえ、何の養殖をしているのかい？
ほげんじょう言うちから,嘘ばかり言ってから
けど、手がとわん,でも、手が届かない
俺なら、とうかもしれん,俺なら、届くかもしれない
しょわねえかえ？,大丈夫かい？
こんツルにつかまんない,このツルにつかまりなさい
あんた、どっかん来たんな？,あなた、どこから来たんだ？
いつもこきい来んのな？,いつもここに来るのか？
たまに来るんじゃけど,たまに来るんだけど
今日は泊まりな？,今日は泊まりか？
なに食うんな？,何食うのか？
趣味はなんな？,趣味は何か？
ここん天然水は、いいじゃろ？,ここの天然水は、いいだろう？
ところじあんた、いつもは家族でくんのな？,ところであなた、いつもは家族で来るのか？
今日はみんな法事に行っちょんのや,今日はみんな法事に行ってるんだ
そしちかい、法事行った組はいつ帰っちくるんかえ？,それで、法事行った組はいつ帰ってくるのかい？
親戚ん組と飯食うけん、遅うなるじゃろ,親戚の組と飯食うから、遅くなるだろう
読みきらん字は、たんねた方がいい,読むことができない字は、尋ねた方が良い
目的地に行くんは、こん道でいんかなあ？,目的地に行くのは、この道で良いのかなあ？
あんた、人にものをたんぬる時は、車から降りちからやろ,あなた、人にものを尋ねる時は、車から降りてからだろう
こん道でいい,この道で良い
わからんなったら、またたんねちみらいいわ,分からなくなったら、また尋ねてみればいいわ
向こうにもまた、あげなおばさんがおるんやろか？,向こうにもまた、あんなおばさんがいるのだろうか？
なんかなし生きちょったら、おいさんになっちょった,とにかく生きていたら、おじさんになっていた
ああ、なんかなし、こん道を真っ直ぐいかいい,ああ、とにかく、この道を真っ直ぐ行けば良い
いんじゃな？,いいんだな？
しちくじいなあ、あんたも,しつこいなあ、あなたも
なんかなし、ここまで来ちしもうたけん、もう戻られん,とにかく、ここまで来てしまったから、もう戻れない
あんた、過ぎちょんで,あなた、過ぎてるよ
そやけど、こっちでいいち言われたけん,そうだけど、こっちで良いと言われたから
そらどうか知らんけど、目的地は逆じゃ,それはどうか知らないけど、目的地は逆だ
新婚時代に、へもどりてえ？,新婚時代に、戻りたい？
ばくう言うたもんじゃ,ばかなこと言ったもんだ
あんたもう、あっちさ行った帰りやねんな？,あなたもう、あっちに行った帰りではないの？
行き過ぎて、へもどっち来たんじゃ,行き過ぎて、戻って来たんだ
あんた、また行き過ぎちょるで,あなた、また行き過ぎてるよ
また、へもどらないけんのかえ,また、戻らないといけないのかい
別大国道で事故たゆう,別大国道で事故だとさ
じゃあけん、高速じ帰らいいち言うたやねえな,だから、高速で帰れば良いと言ったじゃないか
仕方ねえやねえか,仕方ないじゃないか
じき着くわい,じきに着くよ
そげえ騒いでん、はよ着かんのぞ,そんなに騒いでも、はやく着かないんだぞ
こげな時にガス欠じゃ,こんな時にガス欠だ
じゃあけん、うちは、来とうなかったんじゃ,だから、うちは、来たくなかったんだ
俺が押すけん、お前、ハンドル持っちょけ,俺が押すから、お前、ハンドル持っておけ
あんたひとりじ押しきりめえ,あんた一人で押せないだろう
誰かにかっせちもらいよ,誰かに手伝ってもらいよ
誰か、かっせん？,誰か、手伝わない？
まだ、高崎山かえ？,まだ高崎山かい？
家に着いたら起こしてな,家に着いたら起こしてね
わかったけん、寝ちょけ,わかったから、寝ておけ
あんたは、寝たらいけんので,あなたは、寝たらいけないからね
ちゃんと運転せな,ちゃんと運転しないと
なし、こげえあんのじゃろうか,なんで、こんな風なのだろうか
寝ちょん時の俺の顔は、ええらしいらしい,寝ている時の俺の顔は、可愛いらしい
あん、サルん赤ちゃん、ええらしいなあ,あの、サルの赤ちゃん、可愛いなあ
あんたも、あげえあったんで,あなたも、あんなふうだったんだ
あげえ、顔があけかったかえ？,あんなに、顔が赤かったかい？
ああ、赤ちゃんやったけんな,ああ、赤ちゃんだったからな
今でん、顔があこうなるわ,今でも、顔が赤くなるわ
いっこん、わりいことしちねえけど、女房がおじい,ひとつも、悪いことはしてないけど、女房が怖い
そやけど、おじい,そうだけど、怖い
なにが、おじいことあるか,なにが、怖いことあるか
ありがてえんぞ,ありがたいんだぞ
でん、顔が母ちゃんそっくりやん,でも、顔が母ちゃんそっくりじゃないか
ほんとじゃ！おじい！,本当だ！怖い！
俺ん歌どま、聴かんな？,俺の歌でも、聴かんか？
みかんどま、食わんな,みかんでも、食べないか？
あんしはネクタイどま締めち、なんしようんのやろか？,あの人はネクタイでも締めて、何をしているのだろうか？
こん、あけえのはさあ、血の池地獄ちゅうてささ,この、赤いのはさあ、血の池地獄っていってさあ
あんたまた、姉ちゃんに、怪しい東京弁どま喋りよっちから,あなたまた、姉ちゃんに、怪しい東京弁でも喋っていてから
来ちょってたん？,来ていたの？
もうとりおうちょられん,もう取り合ってられない
温泉玉子どま食おう,温泉玉子でも食おう
俺ん誕生日じゃあにい、家に誰もおらん,俺の誕生日なのに、家に誰もいない
大吉じゃったにい,大吉だったのに
父ちゃんが枝にきびっちゃろう,父ちゃんが枝に結んでやろう
こけたら、ズボンに穴がほげた,こけたら、ズボンに穴が空いた
これがあん有名な青の洞門じゃ,これがあの有名な青の洞門だ
なしほげたん？,なんで穴が空いたの？
ほげたんじゃねえ、ほいだんじゃ,穴が空いたんじゃねえ、穴を空けたんだ
誰が、こげえほいだん？,誰が、こんなふうに穴を空けたの？
父ちゃんにはでけん,父ちゃんにはできない
こん、露天風呂からん景色は雄大じゃなあ,この、露天風呂からの景色は雄大だなあ
今日は晴れちょんけん、いちべえ、よう見ゆんなあ,今日は晴れているから、一段と、良く見えるなあ
ぽくと言われてん,突然言われても
よう来ちくれたのう,よく来てくれたねえ
本当はうち、ここじあんたと暮らしたかったに,本当はうち、ここであなたと暮らしたかったのに
